# Project Gutenberg popularity snapshot
# Source: https://www.gutenberg.org/ebooks/search/?sort_order=downloads
# Format: ebook_id<TAB>download_count
84	161014
45304	141411
2701	112484
1342	102660
1513	69498
768	66537
11	63184
100	60226
64317	59802
37683	58960
2641	57282
43	56291
1260	56035
2554	53284
145	52316
844	51621
1184	50120
174	49864
67979	47011
37106	46951
8492	43531
3207	42543
5197	42435
345	42106
16389	40805
1259	40206
76	39331
98	39317
1661	38121
6761	38050
52106	37788
394	37787
2160	37739
2542	37559
28054	37443
6593	37354
4085	36657
26471	34658
1400	33156
1080	32307
16328	30984
24141	30703
1998	29563
2680	29045
1232	28862
58031	28256
25344	27722
26225	27327
4300	27033
205	26959
5200	26908
28942	26849
2600	26829
1952	26613
74	26388
2591	26088
45	25309
3296	25068
120	24972
829	24539
8800	23044
36034	22911
26296	22731
1399	22330
1727	21739
2852	21467
244	21272
72679	20874
4363	20707
33283	20487
22788	20437
34901	20241
408	20214
20968	20166
78248	20088
55	19898
77700	19822
27673	19514
7370	19327
161	19249
23	19236
135	18853
68348	18418
219	18319
16	18141
45368	17438
13188	17410
47715	17341
20228	17278
164	17258
26184	17241
1497	16870
215	16790
730	16763
2148	16696
3206	16539
67792	16500
521	16393
57336	16278
132	16211
